98018000	98018062	98018040	98018032	98018020
98018008	98018087	98018094	98018076	98018052
98018005	98018083	98018026	98018055	98018007
98018004	98018079	98018001	98018075	98018030
98018003	98018098	98018009	98018099	98018061
98018000	98018081	98018077	98018000	98018085
98018002	98018058	98018053	98018021	98018046
98018007	98018097	98018074	98018054	98018072
98018006	98018060	98018037	98018031	98018092
98018009	98018095	98018066	98018069	98018045
98018002	98018011	98018013	98018080	98018059
98018003	98018044	98018048	98018063	98018029
98018000	98018042	98018003	98018049	98018039
98018008	98018035	98018068	98018034	98018019
98018001	98018057	98018050	98018047	98018089
98018000	98018067	98018070	98018041	98018016
98018007	98018038	98018028	98018073	98018096
98018009	98018088	98018051	98018024	98018025
98018001	98018022	98018065	98018014	98018010
98018001	98018012	98018093	98018084	98018005
